,Food product,Animal Feed,Farm,Processing,Transport,Packaging,Animal_Feed_Score,Farm_Score,Processing_Score,Transport_Score,Packaging_Score
0,Wheat & Rye (Bread),0.0,0.8,0.2,0.1,0.1,0,3,3,1,2
1,Maize (Meal),0.0,0.5,0.1,0.1,0.1,0,2,3,1,2
2,Barley (Beer),0.0,0.2,0.1,0.0,0.5,0,1,3,1,5
3,Oatmeal,0.0,1.4,0.0,0.1,0.1,0,3,1,1,2
4,Rice,0.0,3.6,0.1,0.1,0.1,0,5,3,1,2
5,Potatoes,0.0,0.2,0.0,0.1,0.0,0,1,1,1,1
6,Cassava,0.0,0.2,0.0,0.1,0.0,0,1,1,1,1
7,Cane Sugar,0.0,0.5,0.0,0.8,0.1,0,2,1,5,2
8,Beet Sugar,0.0,0.5,0.2,0.6,0.1,0,2,3,5,2
9,Other Pulses,0.0,1.1,0.0,0.1,0.4,0,3,1,1,4
10,Peas,0.0,0.7,0.0,0.1,0.0,0,3,1,1,1
11,Nuts,0.0,2.1,0.0,0.1,0.1,0,4,1,1,2
12,Groundnuts,0.0,1.4,0.4,0.1,0.1,0,3,4,1,2
13,Soymilk,0.0,0.1,0.2,0.1,0.1,0,1,3,1,2
14,Tofu,0.0,0.5,0.8,0.2,0.2,0,2,5,3,3
15,Soybean Oil,0.0,1.5,0.3,0.3,0.8,0,4,4,4,5
16,Palm Oil,0.0,2.1,1.3,0.2,0.9,0,4,5,3,5
17,Sunflower Oil,0.0,2.1,0.2,0.2,0.9,0,4,3,3,5
18,Rapeseed Oil,0.0,2.3,0.2,0.2,0.8,0,4,3,3,5
19,Olive Oil,0.0,4.3,0.7,0.5,0.9,0,5,5,5,5
20,Tomatoes,0.0,0.7,0.0,0.2,0.1,0,3,1,3,2
21,Onions & Leeks,0.0,0.2,0.0,0.1,0.0,0,1,1,1,1
22,Root Vegetables,0.0,0.2,0.0,0.1,0.0,0,1,1,1,1
23,Brassicas,0.0,0.3,0.0,0.1,0.0,0,1,1,1,1
24,Other Vegetables,0.0,0.2,0.1,0.2,0.0,0,1,3,3,1
25,Citrus Fruit,0.0,0.3,0.0,0.1,0.0,0,1,1,1,1
26,Bananas,0.0,0.3,0.1,0.3,0.1,0,1,3,4,2
27,Apples,0.0,0.2,0.0,0.1,0.0,0,1,1,1,1
28,Berries & Grapes,0.0,0.7,0.0,0.2,0.2,0,3,1,3,3
29,Wine,0.0,0.6,0.1,0.1,0.7,0,2,3,1,5
30,Other Fruit,0.0,0.4,0.0,0.2,0.0,0,2,1,3,1
31,Coffee,0.0,10.4,0.6,0.1,1.6,0,5,5,1,5
32,Dark Chocolate,0.0,3.7,0.2,0.1,0.4,0,5,3,1,4
33,Beef (beef herd),1.9,39.4,1.3,0.3,0.2,2,5,5,4,3
34,Beef (dairy herd),2.5,15.7,1.1,0.4,0.3,4,5,5,5,4
35,Lamb & Mutton,2.4,19.5,1.1,0.5,0.3,4,5,5,5,4
36,Pig Meat,2.9,1.7,0.3,0.3,0.3,5,4,4,4,4
37,Poultry Meat,1.8,0.7,0.4,0.3,0.2,2,3,4,4,3
38,Milk,0.2,1.5,0.1,0.1,0.1,1,4,3,1,2
39,Cheese,2.3,13.1,0.7,0.1,0.2,3,5,5,1,3
40,Eggs,2.2,1.3,0.0,0.1,0.2,3,3,1,1,3
41,Fish (farmed),0.8,3.6,0.0,0.1,0.1,1,5,1,1,2
42,Shrimps (farmed),2.5,8.4,0.0,0.2,0.3,4,5,1,3,4
